node,heuristic_score
0,0.503912
1,0.503912
2,0.503912
3,0.503912
4,0.503912
5,0.503912
6,0.503912
7,0.503912
8,0.503912
9,0.503912
10,0.503912
11,0.503912
12,0.503912
13,0.503912
14,0.503912
15,0.503912
16,0.0105634
17,0.503912
18,0.503912
19,0.503912
20,0.503912
21,0.503912
22,0.503912
23,0.503912
24,0.503912
25,0.503912
26,0.503912
27,0.503912
28,0.503912
29,0.503912
30,0.503912
31,0.0105634
32,0.503912
33,0.503912
34,0.503912
35,0.503912
36,0.503912
37,0.0371674
38,0.0105634
39,0.503912
40,0.503912
41,0.503912
42,0.0105634
43,0.503912
44,0.503912
45,0.503912
46,0.503912
47,0.503912
48,0.503912
49,0.503912
50,0.0138889
51,0.503912
52,0.503912
53,0.503912
54,0.00723787
55,0.503912
56,0.503912
57,0.503912
58,0.503912
59,0.503912
60,0.503912
61,0.503912
62,0.0172144
63,0.503912
64,0.503912
65,0.503912
66,0.503912
67,0.503912
68,0.503912
69,0.503912
70,0.503912
71,0.503912
72,0.503912
73,0.00723787
74,0.503912
75,0.503912
76,0.503912
77,0.503912
78,0.00723787
79,0.503912
80,0.00723787
81,0.503912
82,0.503912
83,0.503912
84,0.503912
85,0.503912
86,0.503912
87,0.503912
88,0.503912
89,0.503912
90,0.503912
91,0.503912
92,0.503912
93,0.503912
94,0.503912
95,0.503912
96,0.503912
97,0.503912
98,0.503912
99,0.0138889
100,0.503912
101,0.503912
102,0.503912
103,0.503912
104,0.503912
105,0.503912
106,0.503912
107,0.503912
108,0.503912
109,0.503912
110,0.503912
111,0.503912
112,0.503912
113,0.503912
114,0.503912
115,0.503912
116,0.0338419
117,0.503912
118,0.503912
119,0.503912
120,0.503912
121,0.503912
122,0.503912
123,0.00723787
124,0.503912
125,0.503912
126,0.0172144
127,0.503912
128,0.503912
129,0.503912
130,0.503912
131,0.503912
132,0.503912
133,0.503912
134,0.00723787
135,0.503912
136,0.503912
137,0.503912
138,0.503912
139,0.503912
140,0.503912
141,0.503912
142,0.0238654
143,0.503912
144,0.503912
145,0.503912
146,0.503912
147,0.0105634
148,0.503912
149,0.503912
150,0.503912
151,0.503912
152,0.503912
153,0.503912
154,0.503912
155,0.503912
156,0.503912
157,0.503912
158,0.503912
159,0.503912
160,0.503912
161,0.503912
162,0.503912
163,0.503912
164,0.503912
165,0.503912
166,0.503912
167,0.503912
168,0.503912
169,0.503912
170,0.0172144
171,0.503912
172,0.503912
173,0.503912
174,0.503912
175,0.0138889
176,0.0138889
177,0.00723787
178,0.503912
179,0.503912
180,0.503912
181,0.503912
182,0.503912
183,0.0172144
184,0.0205399
185,0.503912
186,0.503912
187,0.503912
188,0.503912
189,0.503912
190,0.0105634
191,0.503912
192,0.0105634
193,0.503912
194,0.503912
195,0.503912
196,0.503912
197,0.503912
198,0.503912
199,0.503912
200,0.503912
201,0.503912
202,0.503912
203,0.503912
204,0.503912
205,0.503912
206,0.503912
207,0.503912
208,0.503912
209,0.503912
210,0.503912
211,0.503912
212,0.503912
213,0.503912
214,0.503912
215,0.503912
216,0.503912
217,0.0105634
218,0.503912
219,0.503912
220,0.00723787
221,0.503912
222,0.503912
223,0.0138889
224,0.503912
225,0.503912
226,0.503912
227,0.0172144
228,0.503912
229,0.503912
230,0.503912
231,0.503912
232,0.503912
233,0.503912
234,0.503912
235,0.503912
236,0.0238654
237,0.503912
238,0.503912
239,0.0105634
240,0.503912
241,0.503912
242,0.503912
243,0.503912
244,0.503912
245,0.503912
246,0.503912
247,0.503912
248,0.503912
249,0.503912
250,0.503912
251,0.503912
252,0.503912
253,0.503912
254,0.503912
255,0.503912
256,0.503912
257,0.503912
258,0.503912
259,0.503912
260,0.503912
261,0.503912
262,0.503912
263,0.503912
264,0.503912
265,0.503912
266,0.503912
267,0.503912
268,0.503912
269,0.503912
270,0.503912
271,0.503912
272,0.503912
273,0.503912
274,0.503912
275,0.503912
276,0.503912
277,0.503912
278,0.503912
279,0.503912
280,0.503912
281,0.503912
282,0.503912
283,0.0305164
284,0.503912
285,0.00723787
286,0.503912
287,0.503912
288,0.503912
289,0.0105634
290,0.503912
291,0.503912
292,0.503912
293,0.503912
294,0.503912
295,0.503912
296,0.0105634
297,0.503912
298,0.0271909
299,0.503912
300,0.503912
301,0.503912
302,0.503912
303,0.503912
304,0.0271909
305,0.503912
306,0.503912
307,0.503912
308,0.503912
309,0.503912
310,0.503912
311,0.503912
312,0.503912
313,0.503912
314,0.503912
315,0.503912
316,0.503912
317,0.503912
318,0.503912
319,0.0205399
320,0.503912
321,0.503912
322,0.503912
323,0.00723787
324,0.503912
325,0.503912
326,0.503912
327,0.503912
328,0.503912
329,0.00723787
330,0.503912
331,0.503912
332,0.503912
333,0.503912
334,0.503912
335,0.503912
336,0.503912
337,0.503912
338,0.503912
339,0.503912
340,0.503912
341,0.0105634
342,0.503912
343,0.503912
344,0.503912
345,0.503912
346,0.503912
347,0.503912
348,0.503912
349,0.00723787
350,0.503912
351,0.503912
352,0.503912
353,0.503912
354,0.503912
355,0.503912
356,0.00723787
357,0.503912
358,0.503912
359,0.503912
360,0.503912
361,0.503912
362,0.503912
363,0.503912
364,0.503912
365,0.00723787
366,0.503912
367,0.503912
368,0.503912
369,0.503912
370,0.503912
371,0.503912
372,0.503912
373,0.503912
374,0.503912
375,0.503912
376,0.503912
377,0.503912
378,0.503912
379,0.503912
380,0.503912
381,0.503912
382,0.503912
383,0.503912
384,0.503912
385,0.0238654
386,0.503912
387,0.503912
388,0.503912
389,0.503912
390,0.503912
391,0.503912
392,0.503912
393,0.503912
394,0.503912
395,0.503912
396,0.503912
397,0.503912
398,0.503912
399,0.503912
400,0.00723787
401,0.00723787
402,0.503912
403,0.503912
404,0.0138889
405,0.503912
406,0.503912
407,0.503912
408,0.0837246
409,0.503912
410,0.503912
411,0.503912
412,0.503912
413,0.503912
414,0.503912
415,0.503912
416,0.503912
417,0.503912
418,0.503912
419,0.503912
420,0.503912
421,0.503912
422,0.503912
423,0.503912
424,0.0438185
425,0.503912
426,0.0172144
427,0.503912
428,0.503912
429,0.503912
430,0.503912
431,0.503912
432,0.503912
433,0.00723787
434,0.503912
435,0.00723787
436,0.503912
437,0.503912
438,0.503912
439,0.060446
440,0.0138889
441,0.503912
442,0.503912
443,0.503912
444,0.503912
445,0.503912
446,0.503912
447,0.503912
448,0.0138889
449,0.503912
450,0.503912
451,0.503912
452,0.503912
453,0.503912
454,0.503912
455,0.503912
456,0.503912
457,0.503912
458,0.503912
459,0.503912
460,0.0271909
461,0.503912
462,0.503912
463,0.503912
464,0.503912
465,0.503912
466,0.0105634
467,0.503912
468,0.00723787
469,0.503912
470,0.503912
471,0.503912
472,0.503912
473,0.503912
474,0.0105634
475,0.0271909
476,0.503912
477,0.503912
478,0.503912
479,0.503912
480,0.503912
481,0.0138889
482,0.503912
483,0.503912
484,0.503912
485,0.503912
486,0.503912
487,0.503912
488,0.00723787
489,0.503912
490,0.503912
491,0.503912
492,0.503912
493,0.503912
494,0.503912
495,0.503912
496,0.503912
497,0.0438185
498,0.503912
499,0.503912
500,0.503912
501,0.503912
502,0.503912
503,0.503912
504,0.00723787
505,0.503912
506,0.503912
507,0.503912
508,0.503912
509,0.503912
510,0.503912
511,0.503912
512,0.503912
513,0.503912
514,0.503912
515,0.503912
516,0.503912
517,0.503912
518,0.503912
519,0.503912
520,0.503912
521,0.0172144
522,0.00723787
523,0.503912
524,0.503912
525,0.503912
526,0.0105634
527,0.503912
528,0.00723787
529,0.503912
530,0.0172144
531,0.503912
532,0.503912
533,0.503912
534,0.503912
535,0.503912
536,0.503912
537,0.503912
538,0.0138889
539,0.503912
540,0.503912
541,0.503912
542,0.503912
543,0.503912
544,0.0205399
545,0.503912
546,0.503912
547,0.503912
548,0.503912
549,0.503912
550,0.503912
551,0.503912
552,0.503912
553,0.503912
554,0.503912
555,0.503912
556,0.503912
557,0.503912
558,0.503912
559,0.0105634
560,0.503912
561,0.503912
562,0.503912
563,0.0105634
564,0.503912
565,0.503912
566,0.503912
567,0.503912
568,0.503912
569,0.503912
570,0.503912
571,0.503912
572,0.503912
573,0.503912
574,0.503912
575,0.047144
576,0.503912
577,0.503912
578,0.503912
579,0.503912
580,0.503912
581,0.503912
582,0.503912
583,0.503912
584,0.503912
585,0.503912
586,0.503912
587,0.503912
588,0.503912
589,0.503912
590,0.503912
591,0.503912
592,0.503912
593,0.503912
594,0.503912
595,0.503912
596,0.503912
597,0.503912
598,0.503912
599,0.503912
600,0.503912
601,0.503912
602,0.503912
603,0.503912
604,0.503912
605,0.503912
606,0.503912
607,0.503912
608,0.503912
609,0.503912
610,0.503912
611,0.503912
612,0.503912
613,0.503912
614,0.503912
615,0.503912
616,0.503912
617,0.503912
618,0.503912
619,0.503912
620,0.503912
621,0.503912
622,0.503912
623,0.503912
624,0.503912
625,0.503912
626,0.503912
627,0.503912
628,0.503912
629,0.503912
630,0.00723787
631,0.503912
632,0.503912
633,0.503912
634,0.503912
635,0.0172144
636,0.503912
637,0.0172144
638,0.503912
639,0.503912
640,0.0238654
641,0.503912
642,0.503912
643,0.503912
644,0.503912
645,0.503912
646,0.503912
647,0.503912
648,0.503912
649,0.503912
650,0.00723787
651,0.503912
652,0.503912
653,0.503912
654,0.503912
655,0.503912
656,0.503912
657,0.503912
658,0.503912
659,0.503912
660,0.503912
661,0.503912
662,0.503912
663,0.503912
664,0.503912
665,0.503912
666,0.503912
667,0.503912
668,0.00723787
669,0.047144
670,0.503912
671,0.503912
672,0.503912
673,0.503912
674,0.0105634
675,0.503912
676,0.503912
677,0.503912
678,0.503912
679,0.503912
680,0.503912
681,0.503912
682,0.503912
683,0.503912
684,0.503912
685,0.503912
686,0.503912
687,0.503912
688,0.503912
689,0.503912
690,0.0172144
691,0.503912
692,0.503912
693,0.00723787
694,0.503912
695,0.503912
696,0.503912
697,0.503912
698,0.503912
699,0.503912
700,0.176839
701,0.503912
702,0.503912
703,0.503912
704,0.503912
705,0.503912
706,0.503912
707,0.503912
708,0.503912
709,0.503912
710,0.503912
711,0.00723787
712,0.503912
713,0.503912
714,0.503912
715,0.503912
716,0.503912
717,0.503912
718,0.503912
719,0.503912
720,0.503912
721,0.503912
722,0.503912
723,0.503912
724,0.00723787
725,0.503912
726,0.503912
727,0.503912
728,0.503912
729,0.0105634
730,0.0138889
731,0.503912
732,0.503912
733,0.503912
734,0.503912
735,0.0138889
736,0.503912
737,0.503912
738,0.00723787
739,0.503912
740,0.503912
741,0.503912
742,0.503912
743,0.503912
744,0.503912
745,0.503912
746,0.503912
747,0.503912
748,0.503912
749,0.503912
750,0.503912
751,0.503912
752,0.503912
753,0.00723787
754,0.503912
755,0.503912
756,0.503912
757,0.00723787
758,0.503912
759,0.503912
760,0.503912
761,0.503912
762,0.503912
763,0.503912
764,0.503912
765,0.503912
766,0.503912
767,0.503912
768,0.503912
769,0.503912
770,0.503912
771,0.503912
772,0.503912
773,0.503912
774,0.503912
775,0.503912
776,0.503912
777,0.0238654
778,0.0105634
779,0.503912
780,0.503912
781,0.503912
782,0.00723787
783,0.503912
784,0.503912
785,0.503912
786,0.503912
787,0.503912
